source,target,material,time,value
farm1,eat1,apples,2011-08-01,2.7206914664766906
eat1,landfill Cambridge,apples,2011-08-01,1.9044840265336835
eat1,composting Cambridge,apples,2011-08-01,0.8162074399430072
farm1,eat1,apples,2011-08-02,8.802195320072627
eat1,landfill Cambridge,apples,2011-08-02,6.161536724050838
eat1,composting Cambridge,apples,2011-08-02,2.640658596021788
farm1,eat1,apples,2011-08-03,7.133362614117048
eat1,landfill Cambridge,apples,2011-08-03,4.993353829881934
eat1,composting Cambridge,apples,2011-08-03,2.140008784235114
farm1,eat1,apples,2011-08-04,0.062169641893969986
eat1,landfill Cambridge,apples,2011-08-04,0.04351874932577899
eat1,composting Cambridge,apples,2011-08-04,0.018650892568191
farm1,eat1,apples,2011-08-05,2.926891015659516
eat1,landfill Cambridge,apples,2011-08-05,2.0488237109616607
eat1,composting Cambridge,apples,2011-08-05,0.8780673046978548
farm1,eat1,apples,2011-08-06,5.494496388424731
eat1,landfill Cambridge,apples,2011-08-06,3.846147471897312
eat1,composting Cambridge,apples,2011-08-06,1.6483489165274197
farm1,eat1,apples,2011-08-07,0.2345853904704886
eat1,landfill Cambridge,apples,2011-08-07,0.164209773329342
eat1,composting Cambridge,apples,2011-08-07,0.07037561714114657
farm1,eat1,apples,2011-08-08,9.033903749617222
eat1,landfill Cambridge,apples,2011-08-08,6.323732624732053
eat1,composting Cambridge,apples,2011-08-08,2.7101711248851665
farm1,eat1,apples,2011-08-09,1.017642774065504
eat1,landfill Cambridge,apples,2011-08-09,0.7123499418458527
eat1,composting Cambridge,apples,2011-08-09,0.30529283221965114
farm1,eat1,apples,2011-08-10,0.7439610664629306
eat1,landfill Cambridge,apples,2011-08-10,0.5207727465240514
eat1,composting Cambridge,apples,2011-08-10,0.2231883199388792
farm1,eat1,apples,2011-08-11,5.0906421260397945
eat1,landfill Cambridge,apples,2011-08-11,3.5634494882278562
eat1,composting Cambridge,apples,2011-08-11,1.5271926378119385
farm1,eat1,apples,2011-08-12,9.93939986511658
eat1,landfill Cambridge,apples,2011-08-12,6.957579905581608
eat1,composting Cambridge,apples,2011-08-12,2.9818199595349744
farm1,eat1,apples,2011-08-13,6.367050736916259
eat1,landfill Cambridge,apples,2011-08-13,4.456935515841379
eat1,composting Cambridge,apples,2011-08-13,1.9101152210748769
farm1,eat1,apples,2011-08-14,2.1008444555762376
eat1,landfill Cambridge,apples,2011-08-14,1.4705911189033662
eat1,composting Cambridge,apples,2011-08-14,0.6302533366728712
farm1,eat1,apples,2011-08-15,0.7361720277033865
eat1,landfill Cambridge,apples,2011-08-15,0.5153204193923705
eat1,composting Cambridge,apples,2011-08-15,0.22085160831101594
farm1,eat1,apples,2011-08-16,0.14780583299934194
eat1,landfill Cambridge,apples,2011-08-16,0.10346408309953936
eat1,composting Cambridge,apples,2011-08-16,0.04434174989980258
farm1,eat1,apples,2011-08-17,9.258393490679065
eat1,landfill Cambridge,apples,2011-08-17,6.480875443475343
eat1,composting Cambridge,apples,2011-08-17,2.7775180472037184
farm1,eat1,apples,2011-08-18,6.980572834279535
eat1,landfill Cambridge,apples,2011-08-18,4.8864009839956735
eat1,composting Cambridge,apples,2011-08-18,2.0941718502838604
farm1,eat1,apples,2011-08-19,8.123229959197046
eat1,landfill Cambridge,apples,2011-08-19,5.686260971437933
eat1,composting Cambridge,apples,2011-08-19,2.4369689877591134
farm1,eat1,apples,2011-08-20,6.779747574758928
eat1,landfill Cambridge,apples,2011-08-20,4.7458233023312495
eat1,composting Cambridge,apples,2011-08-20,2.033924272427678
farm1,eat1,apples,2011-08-21,5.682353944206231
eat1,landfill Cambridge,apples,2011-08-21,3.977647760944361
eat1,composting Cambridge,apples,2011-08-21,1.7047061832618688
farm1,eat1,apples,2011-08-22,1.5414045776170568
eat1,landfill Cambridge,apples,2011-08-22,1.0789832043319396
eat1,composting Cambridge,apples,2011-08-22,0.462421373285117
farm1,eat1,apples,2011-08-23,0.21820854077685609
eat1,landfill Cambridge,apples,2011-08-23,0.1527459785437992
eat1,composting Cambridge,apples,2011-08-23,0.06546256223305681
farm1,eat1,apples,2011-08-24,5.344839314473616
eat1,landfill Cambridge,apples,2011-08-24,3.7413875201315294
eat1,composting Cambridge,apples,2011-08-24,1.6034517943420843
farm1,eat1,apples,2011-08-25,6.133837285529534
eat1,landfill Cambridge,apples,2011-08-25,4.293686099870674
eat1,composting Cambridge,apples,2011-08-25,1.8401511856588602
farm1,eat1,apples,2011-08-26,4.514583714279839
eat1,landfill Cambridge,apples,2011-08-26,3.1602085999958867
eat1,composting Cambridge,apples,2011-08-26,1.3543751142839515
farm1,eat1,apples,2011-08-27,4.201822477502619
eat1,landfill Cambridge,apples,2011-08-27,2.9412757342518328
eat1,composting Cambridge,apples,2011-08-27,1.2605467432507855
farm1,eat1,apples,2011-08-28,9.060787325476316
eat1,landfill Cambridge,apples,2011-08-28,6.34255112783342
eat1,composting Cambridge,apples,2011-08-28,2.7182361976428937
farm1,eat1,apples,2011-08-29,6.80743658778595
eat1,landfill Cambridge,apples,2011-08-29,4.765205611450164
eat1,composting Cambridge,apples,2011-08-29,2.0422309763357847
farm1,eat1,apples,2011-08-30,0.7995432488333248
eat1,landfill Cambridge,apples,2011-08-30,0.5596802741833273
eat1,composting Cambridge,apples,2011-08-30,0.23986297464999745
farm1,eat1,apples,2011-08-31,9.003127528176254
eat1,landfill Cambridge,apples,2011-08-31,6.302189269723378
eat1,composting Cambridge,apples,2011-08-31,2.7009382584528763
farm1,eat2,apples,2011-08-01,6.251911270027968
eat2,landfill Ely,apples,2011-08-01,4.3763378890195765
eat2,composting Ely,apples,2011-08-01,1.8755733810083897
farm1,eat2,apples,2011-08-02,2.0506883637796203
eat2,landfill Ely,apples,2011-08-02,1.4354818546457335
eat2,composting Ely,apples,2011-08-02,0.615206509133886
farm1,eat2,apples,2011-08-03,4.171087338757545
eat2,landfill Ely,apples,2011-08-03,2.919761137130281
eat2,composting Ely,apples,2011-08-03,1.2513262016272633
farm1,eat2,apples,2011-08-04,0.13654201672505542
eat2,landfill Ely,apples,2011-08-04,0.0955794117075388
eat2,composting Ely,apples,2011-08-04,0.04096260501751663
farm1,eat2,apples,2011-08-05,5.811447218005212
eat2,landfill Ely,apples,2011-08-05,4.068013052603649
eat2,composting Ely,apples,2011-08-05,1.743434165401564
farm1,eat2,apples,2011-08-06,6.488744848853017
eat2,landfill Ely,apples,2011-08-06,4.542121394197112
eat2,composting Ely,apples,2011-08-06,1.9466234546559047
farm1,eat2,apples,2011-08-07,7.129711500917455
eat2,landfill Ely,apples,2011-08-07,4.990798050642218
eat2,composting Ely,apples,2011-08-07,2.1389134502752367
farm1,eat2,apples,2011-08-08,2.2389638698405188
eat2,landfill Ely,apples,2011-08-08,1.567274708888363
eat2,composting Ely,apples,2011-08-08,0.6716891609521556
farm1,eat2,apples,2011-08-09,0.11243026152505832
eat2,landfill Ely,apples,2011-08-09,0.07870118306754081
eat2,composting Ely,apples,2011-08-09,0.03372907845751748
farm1,eat2,apples,2011-08-10,8.40091604553831
eat2,landfill Ely,apples,2011-08-10,5.880641231876818
eat2,composting Ely,apples,2011-08-10,2.520274813661493
farm1,eat2,apples,2011-08-11,0.4666375693576382
eat2,landfill Ely,apples,2011-08-11,0.3266462985503467
eat2,composting Ely,apples,2011-08-11,0.13999127080729146
farm1,eat2,apples,2011-08-12,1.7220219274590165
eat2,landfill Ely,apples,2011-08-12,1.205415349221311
eat2,composting Ely,apples,2011-08-12,0.5166065782377048
farm1,eat2,apples,2011-08-13,1.4047049607746087
eat2,landfill Ely,apples,2011-08-13,0.983293472542226
eat2,composting Ely,apples,2011-08-13,0.4214114882323826
farm1,eat2,apples,2011-08-14,6.357184252588749
eat2,landfill Ely,apples,2011-08-14,4.450028976812124
eat2,composting Ely,apples,2011-08-14,1.9071552757766248
farm1,eat2,apples,2011-08-15,8.181359656650015
eat2,landfill Ely,apples,2011-08-15,5.72695175965501
eat2,composting Ely,apples,2011-08-15,2.4544078969950043
farm1,eat2,apples,2011-08-16,2.032186974175624
eat2,landfill Ely,apples,2011-08-16,1.4225308819229368
eat2,composting Ely,apples,2011-08-16,0.6096560922526871
farm1,eat2,apples,2011-08-17,3.583722094428026
eat2,landfill Ely,apples,2011-08-17,2.508605466099618
eat2,composting Ely,apples,2011-08-17,1.0751166283284077
farm1,eat2,apples,2011-08-18,5.232110981925078
eat2,landfill Ely,apples,2011-08-18,3.662477687347554
eat2,composting Ely,apples,2011-08-18,1.569633294577523
farm1,eat2,apples,2011-08-19,4.711185785951557
eat2,landfill Ely,apples,2011-08-19,3.297830050166089
eat2,composting Ely,apples,2011-08-19,1.4133557357854667
farm1,eat2,apples,2011-08-20,4.103728997409611
eat2,landfill Ely,apples,2011-08-20,2.8726102981867276
eat2,composting Ely,apples,2011-08-20,1.2311186992228833
farm1,eat2,apples,2011-08-21,0.4259942839319977
eat2,landfill Ely,apples,2011-08-21,0.29819599875239833
eat2,composting Ely,apples,2011-08-21,0.1277982851795993
farm1,eat2,apples,2011-08-22,0.9497444743693252
eat2,landfill Ely,apples,2011-08-22,0.6648211320585276
eat2,composting Ely,apples,2011-08-22,0.2849233423107975
farm1,eat2,apples,2011-08-23,5.972857740036549
eat2,landfill Ely,apples,2011-08-23,4.181000418025583
eat2,composting Ely,apples,2011-08-23,1.7918573220109644
farm1,eat2,apples,2011-08-24,2.299449459854181
eat2,landfill Ely,apples,2011-08-24,1.6096146218979266
eat2,composting Ely,apples,2011-08-24,0.6898348379562544
farm1,eat2,apples,2011-08-25,0.4581188418852482
eat2,landfill Ely,apples,2011-08-25,0.32068318931967377
eat2,composting Ely,apples,2011-08-25,0.13743565256557447
farm1,eat2,apples,2011-08-26,7.4213527234168355
eat2,landfill Ely,apples,2011-08-26,5.1949469063917855
eat2,composting Ely,apples,2011-08-26,2.2264058170250505
farm1,eat2,apples,2011-08-27,8.229986004126081
