source,target,type,value
Iron ore,Iron ore,Iron ore,0
Pig iron,Iron ore,Pig iron,0
DRI,Iron ore,DRI,0
Scrap steel,Iron ore,Scrap steel,0
BOF steel,Iron ore,BOF steel,0
EAF steel,Iron ore,EAF steel,0
Ingots and semis,Iron ore,Ingots and semis,0
Long products,Iron ore,Long products,0
Flat products,Iron ore,Flat products,0
End-use goods,Iron ore,End-use goods,0
Iron ore,Loss,Loss,0
Iron ore,Scrap steel,Generated scrap,0
Iron ore,Pig iron,Iron ore,71235.90118
Pig iron,Pig iron,Pig iron,0
DRI,Pig iron,DRI,0
Scrap steel,Pig iron,Scrap steel,0
BOF steel,Pig iron,BOF steel,0
EAF steel,Pig iron,EAF steel,0
Ingots and semis,Pig iron,Ingots and semis,0
Long products,Pig iron,Long products,0
Flat products,Pig iron,Flat products,0
End-use goods,Pig iron,End-use goods,0
Pig iron,Loss,Loss,448.7861774
Pig iron,Scrap steel,Generated scrap,0
Iron ore,DRI,Iron ore,0
Pig iron,DRI,Pig iron,0
DRI,DRI,DRI,0
Scrap steel,DRI,Scrap steel,0
BOF steel,DRI,BOF steel,0
EAF steel,DRI,EAF steel,0
Ingots and semis,DRI,Ingots and semis,0
Long products,DRI,Long products,0
Flat products,DRI,Flat products,0
End-use goods,DRI,End-use goods,0
DRI,Loss,Loss,0
DRI,Scrap steel,Generated scrap,0
Iron ore,Scrap steel,Iron ore,0
Pig iron,Scrap steel,Pig iron,0
DRI,Scrap steel,DRI,0
Scrap steel,Scrap steel,Scrap steel,0
BOF steel,Scrap steel,BOF steel,0
EAF steel,Scrap steel,EAF steel,0
Ingots and semis,Scrap steel,Ingots and semis,0
Long products,Scrap steel,Long products,0
Flat products,Scrap steel,Flat products,0
End-use goods,Scrap steel,End-use goods,0
Scrap steel,Loss,Loss,4907.543626
Scrap steel,Scrap steel,Generated scrap,0
Iron ore,BOF steel,Iron ore,0
Pig iron,BOF steel,Pig iron,69722.99851
DRI,BOF steel,DRI,0
Scrap steel,BOF steel,Scrap steel,8617.449254
BOF steel,BOF steel,BOF steel,0
EAF steel,BOF steel,EAF steel,0
Ingots and semis,BOF steel,Ingots and semis,0
Long products,BOF steel,Long products,0
Flat products,BOF steel,Flat products,0
End-use goods,BOF steel,End-use goods,0
BOF steel,Loss,Loss,4857.107761
BOF steel,Scrap steel,Generated scrap,0
Iron ore,EAF steel,Iron ore,0
Pig iron,EAF steel,Pig iron,1177.516493
DRI,EAF steel,DRI,17.48
Scrap steel,EAF steel,Scrap steel,23690.04008
BOF steel,EAF steel,BOF steel,0
EAF steel,EAF steel,EAF steel,0
Ingots and semis,EAF steel,Ingots and semis,0
Long products,EAF steel,Long products,0
Flat products,EAF steel,Flat products,0
End-use goods,EAF steel,End-use goods,0
EAF steel,Loss,Loss,1070.056573
EAF steel,Scrap steel,Generated scrap,0
Iron ore,Ingots and semis,Iron ore,0
Pig iron,Ingots and semis,Pig iron,0
DRI,Ingots and semis,DRI,0
Scrap steel,Ingots and semis,Scrap steel,0
